"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"Information visualization, user interface toolkits, information foraging, social navigation, social data analysis",4376132,801862
J,"Document visualization, multi-resolution analysis, local fitting",4376142,398863;745302;963287;963273;885097
J,"Automatic presentation, visual analysis, graphic design, best practices, data visualization, small multiples",4376133,885086
J,"Spatialization, Information Landscape, User Study, Numerosity, 3D, 2D, Colour, Greyscale, Surface, Points",4376149,1382891;1382900;1173146;528686
J,"Information visualization, interaction, interaction techniques, taxonomy, visual analytics",4376144,346302;1532136;559213;175794;1532126;885091;801860;885086
J,"Graph visualization, node-link diagrams, structural comparison, hierarchies, 3D visualization, edge aggregation",4376140,1250400;146402;4015424;175815;1249008;963279;4015425
J,"Information visualization, network security, network monitoring, treemap",4376129,4035756;1173156;1382888;175815
J,"Data integration, RDF, attribute inference",4376141,885086;346302;559210
J,"Causality, visualization, semantics, animated graphs, perception, visualizing cause and effect, graph semantics",4376148,1249025
J,"Treemap, tree comparison, visualize changes, treemap layout algorithm",4376152,801860;1532145;4015431;175815
J,"Sensor networks, user interfaces, surveillance, timeline, spatio-temporal visualization",4376136,1382887;1532122
J,"Color, perception, visualization, color weaving, color blending",4376150,1532140;1250362;809905;1532137
C,"wavelets, HOSVD, surveillance, anomaly detection, trajectory",4388990,4015469
C,"Visual Analytics, Visual Knowledge Discovery, Discovery Management, Analysis Guided Exploration",4389000,346302;4035758;1382893;636793;4035747
C,"Semantic Video Classification, Knowledge Discovery, Knowledge Visualization",4389003,729555;4015428;528686;885098;4035750
C,"Data management, visual analytics, data retrieval, information visualization, smart aggregation, situational awareness",4388998,4035755;1532792;1382902
M,,4389022,
C,"Visual Analytics, High-Dimensional Data, Visual Data Mining, Visualization in Earth/Space/ and Environmental Sciences",4388999,663916;1382895;801859;1382894;146402
C,"Multivariate data, visual analytics, parallel coordinates, dynamic queries, iterative analysis, starplot, small multiples",4389013,885086;146386;175815;1249026;4035757;1532139;4035764;4035743;1532136;636793;4035763;4035747;1249016;809866;146375
C,"visualization, analysis, collaboration, design, computer-supported cooperative work",4389011,175820;4015439;4015427;4035757
C,"visual analytics, geo-temporal visualization, text processing, knowledge discovery, geospatial analytics",4388991,
M,,4389025,
M,,4389028,
C,"Bioinformatics, Visual Analytics",4388997,
M,,4388989,
M,,4389036,
C,"Visual Analytics Query, Similarity Queries, Interactive Queries",4389001,4015431;729568;146402;885086;346302
M,,4389034,
C,"Visual analytics, investigative analysis, intelligence analysis, information visualization, multiple views",4389006,528686;1382887;4035749
C,,4388993,
C,"Visual literature analysis, visual analytics, literature fingerprinting",4389004,
C,"Large data exploration, broadcast video analysis, time filtering, clustering, animation, comparative analysis",4389005,4035750;4035765;568118;729568;801858;1532122
M,,4389030,
C,"Document Visualization, Multidimensional Visualization, Document Analysis, Text Analytics, Phylogenetic Trees",4389002,528686;567787
C,"Web session log analysis, visual exploratory data analysis, information visualization",4389008,729565;1249006;1382890;559227
M,,4389023,
M,,4389018,
M,,4389024,
C,"Network security, Intrusion Detection, Visualization, Data Exploration",4389007,963273;963279;1249020
C,"human information interaction, visual analytics, sense-making, narrative, pattern detection, story making, story telling",4388992,1382887;4035754
M,,4389026,
M,,4389019,
C,"web 20, JavaScript, scalable vector graphics, visualization components, linked view visual analytics",4388996,
M,,4470207,
M,,4389020,
C,"Wikipedia, wiki, revert, graph, collaboration, user model, visualization",4389010,4015419;1532126
M,,4389033,
M,,4389032,
M,,4389038,
M,,4389016,
M,,4389037,
M,,4389015,
M,,4389035,
M,,4389021,
C,"Wikipedia, social network analysis, controversy",4389012,4035748
M,,4389027,
C,"Geovisualization, transportation planning, vehicle scheduling, task-centered design, coordinated multiple views",4388995,
C,"mobile visualization, visual analytics, emergency response",4388994,4035751
M,,4389017,
C,"Fraud detection, financial data visualization, categorial and time-varying data",4389009,801851;528686;4015417;1382907
J,"Multi-volume visualization, constructive solid geometry, shading, display algorithms",4376190,1250406;1250384;1183762
J,"Multi-projector displays, tiled displays, large format displays, blending, stitching, automatic geometric alignment, photometric correction, super-resolution, superimposed projection",4376162,809883
J,"Surface and volume illustration, illumination, photic extremum lines (PELs), silhouettes, suggestive contours, ridges and valleys, digital geometry processing",4376158,1250414;885694;1183777;5613473;1532856;480795
J,"Conjoint Analysis, Parameterized Algorithms, Volume Visualization",4376200,4015471;1532834;4015448;1250412;1532149;4015502
J,"Surface extraction, Polygonal meshes, Visualization in Physical Sciences, Life Sciences and Engineering",4376183,885706;1532823;663887
J,"situational awareness, videos, virtual environment models, design space, testbed design and evaluation",4376188,1250396;4015469;1250401;1250400;1532836;1532782
J,"unsteady flow visualization, feature extraction, particle motion",4376212,809896;1532851;745296
J,"Cardiac MRI, late enhancement, viability, bull's eye plot",4376196,1250386;1183754;4015449;1372221
J,"flow visualization, feature detection, 3D vector field visualization",4376175,1372196
J,"Morse theory, Morse-Smale complexes, computational topology, multiresolution, simplification, feature detection, 3D scalar fields",4376172,1372235;885680;745329;745312;1532839;885703
J,"Surface reconstruction, Implicit surfaces, Octrees, Generalized Coulomb potentials, Polygonization",4376181,
J,"Ridge extraction, flow visualization, coherent structures, vector field topology, unsteady vector fields",4376174,809896;1372213
J,"Volume rendering, illustrative visualization, halos",4376160,1250414;4015450;885694;663912;1250394;4015442;1372209;175805;4015472
J,"Skin friction, singularity tracking, vortex, generalized streak line, flow visualization, time-dependent vector fields",4376209,1372214;4015497;4015451;146359;1532851;809896
J,"Perception, optimal visualization, texturing, layered surfaces",4376199,1532782;4015473;964505;1249022;4015474
J,"Multimodal Volume Rendering, Hardware Assisted Raycasting, Surgery Planning",4376204,1250384;745311;1250386;1372237
J,"Volume deformation, focus+context visualization, interaction techniques",4376157,885696;4015466;1250400;4015449;1250401;1382903;1183777;4015467;964519;1372190;885694;1532856;1532818
J,"Ray Tracing, Isosurfaces, Unstructured meshes, Tetrahedra, Scalar Fields, Time-varying data",4376208,1532796;4015496;1250390;4015501;1250384;745713;745300
J,"Acoustic propagation,Interactive systems",4376201,4015479;1532790
J,"Multi-field Visualization, Visual Data Mining, Time-varying Volume Data, Integrating InfoVis/SciVis",4376166,885739
J,"Diffusion tensor visualization, graphics hardware, interactivity",4376177,1250358;1250357
J,"Topology, Compression, Image Representation",4376170,1532839;1532807
J,"Volume visualization, volume rendering, participating media, lattice, FCC lattice, sampling, multiple scattering, GPU",4376189,1372174;964498;1250384;1532811
J,"Sound analytics, Applications of Visualization, Room Acoustics, Phonon Tracing, Acoustic Metric",4376202,4015479;1532790
J,"Navigation, interaction, linked views, medical visualization, viewpoint selection",4376185,1532834;4015449;1532833
J,"molecular surfaces, molecular visualization, surfaces, textures, cartographic labeling",4376193,398882;1183769;1532822;1183780;1372208;4015487
J,"Flow Visualization, Feature Detection, Pattern Extraction, Pattern Recognition, Image Processing",4376210,1372207;809873;1532858;1250372
J,"Local statistical complexity, multifield visualization, time-dependent, coherent structures, feature detection, information theroy, flow visualization",4376165,809865;1250372;4015447;809905;4015473;1250383
J,"Morphable model, shape space, barycentric coordinates, design space",4376186,
J,"visualization systems, query-by-example, analogy",4376187,1532781;1382890;1372192;1532788;1532795
J,"Mesh compression, random access, cache-coherent layouts, mesh data structures, external memory algorithms",4376184,1183796;4015488;1532800;4015484;964532
J,"Geometric calibration, photometric calibration, tiled displays",4376163,964508;4015470;885685;1183793;885684;809883
J,"Volume Rendering of Unstructured Grids, Focus+Context Techniques, Hardware-Assisted Volume Rendering",4376191,4015496;1250390;4015450;964514;4015449;4015501;4015486;885683;1250384;964512;809908
J,"support vector machine, segmentation, image analysis, retinal, optical coherence tomography, volume visualization, image processing",4376207,964519;1250413
J,"Illustrative Visualization, Focus+Context Techniques, Volume Visualization",4376159,1372194;1532792;1532807;1250414;1372209;1532856;4015446;4015460
J,"knot theory, haptics, visualization",4376203,568120;1532804
J,"Adaptive streamlines, vector field reconstruction, shape matching",4376173,1532831;1532832;1372198;964530;4015453;885690
J,"diffusion tensor, magnetic resonance imaging, stochastic tractography",4376180,1532780;4015499;1250384;745294;809886;1532779;1532777;809904;4015480
J,"DECT image fusion, local surface extraction, Dual Energy CT, metrology, dimensional measurement, variance comparison",4376182,1250418;964519
J,"Feature tracking, texture-based analysis, flow visualization, time-varying data, visualization",4376176,1250374;885694;745288;567807
J,"Geometric calibration, photometric calibration, tiled displays",4376161,1532786
J,"data-parallel visualization pipeline, time-varying data",4376164,1532793;235219;1532795;175794;1372217;885092;480821
J,"Feature Detection, User Interfaces, Visual Analytics, Contour Tree, Terrain, Topology, SOAR",4376169,1372235;745303;235215;809932;1382888;663860;663875;1173159;1183772;1532839;1250376
J,"Diffusion tensor, probabilistic fiber tracking, tensor topology, uncertainty visualization",4376179,809894;1532777;1532841;346326;1532778;346326
J,"Morse theory, Morse-Smale complex, distance field, topological simplification, wavefront, critical point, porous solid, material science",4376171,1532839;1532783;1250356;1372235;885680;885703
J,"Isosurface extraction, particle systems, Delaunay triangulation",4376205,1183766;1250414;1250363;4015483;1183808;885705
J,"Volume Compression, Compressed Volume Rendering, Transform Coding, Hardware-accelerated Volume Rendering",4376192,1183757;964541_06;1372194;398845;1250357;480812;1250385
J,"Molecular visualization, hardware acceleration, protein dynamics",4376194,1532859;559215;885733;4015487
J,"Uncertainty, probability, medical visualization, volume rendering, transfer function",4376198,1532807;235199;1250414
J,"Multivariate Data, Query-Driven Visualization",4376167,1372207;1532792;809866;4015447;1250362
J,"Flow visualization, rheoscopic fluids",4376211,1372186
J,"Weather data visualization, polar system, parallel coordinates, air pollution, visual analytics",4376168,885745;146402;885736;1249015;4015447
J,"Cluster detection analysis, molecular dynamics visualization, time-dependent scattered data, glyph visualization, out-of-core techniques, evolution graph vie",4376195,1250404;1183811;4015487;1372203;4015464;1250404
J,"Interpolation, Isosurface, Astronomy, Cosmology",4376206,1372230;1372228
J,"Uncertainty visualization, large spatial scale, interstellar data, astronomy",4376197,885679;1183769;1250404;1532807;4015476;4015458;1372187;1532853;568116;1183824;568105;1173145;1532803;1372183
J,"Tuboids, stream tubes, interactive gpu-centric rendering, neuronal pathways",4376178,1183799;1532859;1372220;4015480;1250368;4015478;567777
J,"Information visualization, graph visualization, graph clustering",4015416,1382907;1532127;1382906;636718;1382909
J,"Social networks, interactive graph visualization, attribute ranking, coordinated views, exploratory data analysis",4015419,1249011;1382909;1382886;4035752;636718;1382906;1532126
J,"Detail in context, complex logarithm, conformal mappings, analytic functions, interaction",4015438,636786;1532128;559214
J,"Map labeling, dynamic maps, human-computer interface, label placement, label selection, label filtering, label consistency,computational cartography, GIS, HCI, realtime, preprocessing",4015429,
J,"Sampling, random sampling, lens, clutter, occlusion, density reduction, overplotting, information visualisation, parallel coordinates
",4015422,1372186;1532819;1382905;809866;1382895
J,"Graphical visualization, interactive information retrieval, faceted metadata",4015432,729555;885086;1173156;528685;175815
J,"Network visualization, edge bundling, edge aggregation, edge concentration, curves, graph visualization, tree visualization, node-link diagrams, hierarchies, treemaps",4015425,1382886;1249008;1532150;1249030;1532129;636718;1173152
J,"Graph drawing, constraints, stress majorization, force directed algorithms,multidimensional scaling",4015435,1532130
J,"social networks visualization, node-link diagrams, matrix-based representations, exploratory process, matrix ordering, interactive clustering, consensus",4015417,1382905
J,"Metrics, Clustering, Sampling, Multiresolution Visualization",4015421,1382900;1532819;1382895;485139;885088
J,"Information visualization, banking to 45 degrees, line charts, time-series, sparklines, graphical perception",4015420,
J,"Network visualization, semantic substrate, information visualization, graphical user interfaces",4015424,1382886;1532124;1532126
J,"Graph and network visualization, quasi-tree",4015434,636718
J,"Design patterns, information visualization, software engineering, object-oriented programming",4015439,729560;1173141;1249007;885086;1382904;1382905
J,"GIS, geographic visualization, text and document visualization, information analytics, WWW data visualization, spidering, newspapers",4015428,
J,"Information visualization, large displays, empirical evaluation",4015437,1173156
J,"Interdomain Routing, Internet Visualization, Graph Drawing, Spring Embedder",4015423,1382908;963279;1173160
J,"Small screen, PDA, scatterplot, zoom, fisheye, focus+context",4015436,801854;1173156
J,"Graph visualization, multivariate visualization, interactive clustering, state spaces, transition systems, finite state machines",4015418,1173153;1173155;175796;1183778;1249028
J,"Graph and network visualization, financial data visualization, hierarchy visualization, time series data",4015433,1382909;1382906
J,"Graph drawing, dynamic graph, RNA folding, energy landscape, fitness landscape, barrier tree",4015430,1382908
J,"Geo-spatial Data, Shape Transformation, Cartogram, Pixel Visualization",4015426,745303;1382888;1250410
J,"Information visualization, treemap, business graphics, hierarchical data",4015431,1532781;963290;175815;1532125;801859
J,"Geographic Visualization, Computer Graphics, Worldmapper, Data Visualization, Social Visualization, Cartogram",4015427,
C,"Temporal query, information visualization, user
interface",4035762,963273
C,"query-driven visualization, network security, data
mining, visual analytics",4035755,809930;1532792
C,"visual analytics, information visualization, human
information interaction, sense making, geo-spatial information
systems, temporal analysis, user centered design",4035744,1382887
C,"visualization, analytic environments,
metrics",4035759,146375;1382902;636794
C,"Visual analytics, Spatial information organization, Indirect
human computer interaction, Indirect collaboration, Agents,
Sense-making",4035758,
C,"Data cleaning and integration, user interfaces, visual
analytics, visual data mining",4035746,
C,"network traffic visualization, visual analysis",4035754,559226
C,"Uncertainty visualization, multivariate visualization,
data quality",4035764,885679;1173145;485139;1382902
C,"News Visualization, Semantic Video Classification",4035750,729555;1249019;175815
C,"Visual Analytics, Graph and Network Visualization, Information Analytics, Information Visualization",4035749,1249014;1532131
C,"Visual Analytics, Intelligence analysis, Problem solving
environments, Visual Knowledge Discovery",4035747,1532146;1532136;963287;559210
C,"mobile visualization, network visualization, visual analytics",4035751,1382887;964541_07;1532135;1532131;885097
C,"Interactive Detection, Wormhole Attacks, Visualization
on Network Security, Wireless Networks, Topology Visualization",4035753,567787;1532819;1173161;1382891
C,"Visual Analytics, Network Traffic Monitoring, Information
Visualization and Geography-based Solutions",4035756,885091;729567
C,"Human-Computer Interaction, information
visualization, network visualization, content-actor network data,
iterative query refinement, incremental data exploration, user
interfaces, digital library, piccolo",4035752,1382886;559210;1532136
C,"Visual Data Exploration, Visualization technique,
Visual Analytics",4035766,1532145;1532142;1532782;1532781;885092
C,"Book Index, eBooks, Information Scent, contextualization, personalized information access",4035761,
C,"Image retrieval, image layout, semantic image classification,
multi-dimensional visualization, visual analytics",4035765,801855;528686;1249009;485140;1382893
C,"TimeTree, DOI Tree, tree visualization,organizational chart, timeseries data, visual analytics",4035741,1249010;175815
C,"visual analytics, collaborative and distributed visualization, data management and knowledge representation, visual knowledge discovery",4035757,
C,"Data exploration, OLAP, visualization, parallel
coordinates",4035763,1173157;1532139
M,,4035768,
C,"Visual Analytics, Intelligence analysis, Problemsolving
environments, Visual Knowledge Discovery",4035748,1173155
C,"Geovisualization, exploratory visualization, historical
geography, coordinated multiple views, travel pattern analysis",4035745,1382904;1173155;1382905
C,"Infovis, parallel coordinates, multiple linked views,
exploratory analysis",4035743,
C,"Knowledge Discovery, Scientific Analytics, Trajectory
Analysis, Feature Extraction, Spatio-temporal Predicates, Visual
Analytics",4035742,1183789
C,"AJAX, thin-client, SVG, ROC curves, confusion
matrices, document categorization",4035760,
J,"Direct volume rendering, unstructured grids, programmable graphics hardware",4015501,1250390;663853;885683;1250384;964512;567606
J,"Visualization model, Web search results, movement, speed",4015455,528691;963287;528692;729565;801864;885099
J,"Computer Aided Detection, Virtual Colonoscopy, Texture Analysis, Volume Rendering",4015440,964540;1372236;235231;1250384
J,"volume rendering, transfer function, signal processing, Fourier transform, adaptive sampling",4015502,1250388;1532812;1250412;398852;885683;964519;1250384;809908
J,"Collaborative visualization, network latency, motion synchronization, distributed synchronization",4015456,663890;663896
J,,4015487,885694;1250394
J,"Flow visualization, evenly-spaced streamlines, streamline placement, seeding strategy, closed streamlines",4015453,885690;745295;1532831;1532832
J,"weather visualization, grid structures, transfer function, volume rendering, volume visualization, glyph rendering, warm rain entrainment process",4015477,885745;1250390;745330;235215;568112;1250383;146361
J,"Particle visualization, motion, motion features",4015462,964552;1372223;885733;885734
J,"Flow visualization, Tensor field Topology, Invariants",4015481,1250379;663858;1372213;1372188;1372196;346326;398849
J,"Multi-projector displays, projector-camera systems, geometric and color calibration, distributed algorithms",4015470,1183793;885685;885684;809883;964508
J,"Illustrative Visualization, Focus+Context Techniques, Volume Visualization",4015468,1532856;1372190;1532857;1532835
J,"Focus & Context, GPU rendering, volume raycasting",4015450,885694;1250400;568110;1183762;1183777;809882;885694;1372190;1250384;1532856;1532818
J,"Acoustic simulation, comparative visualization, ray tracing, finite element method, phonon map",4015479,1532790
J,"Focus+Context, information visualization, real time rendering, navigation",4015445,636786;1532127;1173156;1532127;1183791
J,"Supercomputing, concurrent visualization, interactive visual computing, time-varying data, high temporal resolution visualization, GEOS4 global climate model, hurricane visualization, ECCO, ocean modeling",4015457,1532795
J,"scientific visualization, disclination, nematic liquid crystal, defects, unstructured grid, feature extraction",4015463,4015482;4015498;663894;1372231;5613500;964507
J,"Diffusion tensor, glyphs, particle systems, anisotropic sampling, fiber tractography",4015499,1372187;745294;1372188;1183797;485141;809905;1250379
J,"Large volumes, volume roaming, out-of-core, hierarchical caching, distributed shared memory, hardware-accelerated volume visualization, graphics hardware, parallel rendering, graphics cluster",4015495,1532794;663888;1532785;1532802
J,"Static view selection, image based method, dynamic view selection, information entropy, optimization",4015471,1250414;567807;809893;1249004;1532834;1532857;1532833;1183785;1250402
J,"Stereo, Stereopsis, X-ray, Radiograph, Volume Rendering",4015472,
J,"Illustrative visualization, exploded views, volume rendering",4015467,1250400;1532783;1532856;1532807;1250384;559215;1372221;1532817
J,"Volumetric data interpolation, reconstruction, box splines",4015500,346331;398851;1532811;1372174;663848
J,"High throughput, lossless compression, file compaction for I/O efficiency, fast entropy coding, range coder, predictive coding, large scale simulation and visualization",4015488,809867;885711;1183768;568138
J,"Illustrative visualization, Illustrative manipulation, GPU computing, volume rendering, volume deformation, computerassisted medical illustration",4015466,1250400;885694
J,"Pipeline model, laziness, functional programming",4015454,346311;809864;398880;809891;1532800;663888
J,"Forensics, autopsies, medical visualization, volume rendering, large scale data",4015441,1183757;1250384;1532794;1250391;1532799;809908
J,"Volume rendering, transfer function design, semantic models",4015460,1250384;1250413;1183764;745319;964519;1250412;568112;663875
J,"Isosurface Extraction, Curvature, Advancing Front",4015483,175782;885705;663930;1250414;1372230
J,"remote visualization, volume visualization, flow visualization, graphics hardware, nanotechnology simulation",4015465,1183758;1250377;1532795;235211;1532811;1250361;885683;1532794;1532793;346315;885689
J,"Diffusion tensor data, fiber tracking, streamline visualization",4015480,1532859;1532772;1183799;1532773;1532778;567777;1532779;1372220
J,"Illustrative visualization, volume visualization, interacting with volumetric datasets, characteristic viewpoint estimation, focus+context techniques",4015449,1532856;1532834;963286;1532833
J,"Isosurface, point-based visualization, isosurface extraction, hardware acceleration, GPU acceleration",4015491,745713;1372228;568121;1372230;745300
J,"Interactive large higher-order tetrahedral volume visualization, point-based visualization",4015486,1250406;1532796;1532776;1532809;1250404;1183757;1183771;1372224;1250390;809867;1372181;1250384;885683;1183778;1532808;1250389;480790;1372226;1532801
J,"Sparse point visualization, astronomy, cosmology",4015476,235181;1183824;1250404
J,"scientific visualization, isosurface extraction, indexing",4015493,745713;175780;745299;568121;809910;1183810;745298;809879;1372230;745300;1250373
J,"Medical visualization, virtual colonoscopy, polyp detection, line of curvature, implicit surface",4015443,1532832;885690;1183789;480795
J,"LOD map, knowledge representation, perceptual reasoning, multiresolution rendering, large volume visualization",4015461,809871;809908;964519;480812;1532781;1532833;963283;1532834;1183757;663869;1183791;235230;663875
J,"Mesh and graph layouts, cache-aware and cache-oblivious layouts, metrics for cache coherence, data locality",4015484,1372189;1250408;964533;568125;1532800;1183794
J,"multi-variate, time-varying, comparative, focus + context",4015446,398869;1532856;1372194;885694;1250402;235222
J,"Visualization, multifield, correlation",4015447,809865;1372207;1372239;809905;1250362
J,"car navigation systems, nonperspective projection, occlusion-free animation, visual perception, temporal coherence",4015475,636786;1532818
J,"histograms, isosurfaces, isosurface statistics",4015490,346334;964519;346331;175782;964515;964516;663875
J,"Out-of-core algorithm, semi-regular remeshing, shape compression",4015485,964541_08;1250408;1532800;745282;964532
J,"Parallel coordinates, focus+context visualization, outliers & trends, large data visualization",4015444,636793;809866;1173156;567800;1532138;146402
J,"Volume Rendering, Large Unstructured Grids, Client-Server, Progressive Rendering, Level-of-Detail",4015496,1532796;745713;1250390;1372227;1532793
J,"Vessel visualization, functional realism, illustrative rendering, spatial perception, evaluation",4015442,1532782;1532859;1250394;1532835;964538;1249022;1532855
J,"vector field visualization, higher-order singularities, line integral convolution, GPU",4015497,1532776;346313;1250363;1532842;809892;809897;5613473;885716;1250364
J,"Saliency, visual attention, perceptual enhancement, volume rendering, non-photorealistic rendering",4015448,1250414;1250412;885694;1183777;1372209;885696
J,"Parallel and distributed volume visualization, large Data Set Visualization, multi-variate Visualization, volume Visualization",4015494,1532792;1532794;809910;568121;1250412;964519;745311;885698
J,"Astrophysical visualization, large-scale exploration, interaction techniques, world-in-miniature (WIM)",4015458,
J,"Perception models, 2D visualization methods, visualization evaluation, perceptual interactions, visual design",4015474,5290732;636792;885092
J,"scientific visualization, tensor visualization, symmetric traceless tensor, nematic liquid crystals",4015482,4015463;1532770;1532773;4015498
J,"Tensor Visualization, Case Studies, Liquid Crystals, Molecular Modeling",4015498,745294;1372231
J,"perception, optimal visualization, layered surfaces, human-in-the-loop, genetic algorithm, data mining, linear discriminant analysis, parallel coordinates, decision trees",4015473,1532782;1249022
J,"topology, multi-resolution, Morse theory",4015464,1250376;1183772;1532842;885716;1372235;1250408;1372214;809907;745288;1532839
J,"Isosurface, time-varying, span space, out-of-core, point-based rendering",4015492,568121;745298;1372230;1372228;663895;809879
J,"virtual prototyping, assembly/maintenance simulation, visual cues, glyph, light, contact, proximity, force",4015459,964526;885692
J,"Video visualization, volume visualization, flow visualization, human factors, user study, visual signatures, video processing, optical flow, GPU rendering",4015469,1250401;175792;480819
J,"Biomedical visualization, features in volume data sets, large data set visualization",4015489,745319;146378;885735;885678;1532788;568136
J,"neuron visualization, GPU acceleration, global illumination, orientation filtering",4015478,1532859;1250399;1532780
J,"Flow visualization, vorticity transport, unsteady flow, linked views",4015451,567807;809896;1372195
J,"Vortex detection, vortex visualization, feature mining",4015452,663894;1183789;1532830;745296;745288;809896
C,Hierarchy Visualization,1532145,963283;1173152
C," Archaeology, Astronomy, data mining",1532123,
C,"Cognitive Walkthrough, usability inspection methods, bibliographic networks",1532147,
C,"browsing, distortion, hierarchy navigation, focus+context, drill-down, space-filling visualization, TreeMap, semantic zooming",1532132,885091;1382899
C,"Parallel Glyphs, parallel coordinates, star glyphs, multi-dimensional data sets, 3D visualization",1532141,485139;1249024;1249008;1173157;1382893;1249015;1382895;1382894;809866;1173151;346302;663866;146402
C,"intelligent multimodal interfaces, visual context management, automated generation of visualization, visual momentum",1532146,885091;885093;636718
C,"Design Study, Time-Varying Data Visualization, Human-Computer Interaction",1532122,1382897;885098
C,,1532130,
C,"Graph Label Placement, Dynamic Animation, Graph Visualization, Information Visualization",1532131,
C,"Elastic Hierarchies, Treemaps, node-link diagrams, hybrids, combinations, overview+detail, multiple views, trees, interaction techniques, interactive visualization",1532129,885091;1173148
C,"flow maps, GIS, hierarchical clustering",1532150,528697;559226
C,"visualization, statistical graphics",1532142,1249006;1382892;1382895
C,"information visualization, text mining, event analysis, time-dependent visualization",1532135,
C,"Information Visualization, Time Series, Space-Filling Layout Generation",1532148,801867;801851;485140;801860;885086
C,"Sankey diagram, flow diagram",1532152,398870;559226
C,"genealogy, genealogies, family trees, kinship, multi-trees, graph drawing, graph theory, graph browsing and navigation",1532124,1382899;636718;175815;1173148
C,"Analytic activity, taxonomy, knowledge discovery, design, evaluation",1532136,146375;729560;885092;1382884;963289
C,"information visualization, multivariate visualization, distribution, aggregated data",1532140,528691;568111;809866;885677
C," categorical data, meta information, interaction",1532139,146386;146402;1249016;1173157
C,"Focus+Context, Information Visualization, Real Time Rendering, Progressive Rendering",1532127,1173156;1382905
C,"Parallel coordinates, clustering, transfer function, feature animation",1532138,146402;809866;1382894
C,"multidimensional visualization, perception, 3D glyphs",1532137,
C,"Temporal visualization, time-dependent attributes, spatial data, multi-attribute visualization, resource allocation",1532149,963273;963274
C,"source code visualization, multiple views, treemaps, pixel-filling displays, source code analysis",1532125,801860;964541_09
M,,1532153,
C,"Information Visualization, Dynamic visualization, User interaction design, real-time updating",1532133,963274;1173160;1249014;801853
C,"pseudo color, overview, detail, focus+context, data density",1532144,
C,"situation awareness, network intrusion, visualization",1532134,1250415
C,"Graph visualization, data overlay, timeseries data analysis, usability experiments",1532151,1382886;559226;1249009
C,"coordination, exploratory visualization, linked views, software visualization, metavisualization",1532143,1173141;1382904;1382905;559213;636792;1173142;885092;1173163
C,"social networks, visualization, graphs, community,data mining, exploration, play",1532126,1382886
C,"Voronoi Treemaps, Information Visualization, Hierarchies, Trees, Treemaps, Voronoi Tessellations",1532128,1382900;963283;175815;1372178;235217;801860
C,"critical points, general tensors, symmetric tensors,degenerate tensors, tensor topology, topological lines, hyperstream-lines",1532770,663929;745291;346326;346326;1372188;745294;809886
C,"large data set visualization, data flow networks, contract-based system",1532795,567746_1;146416;480821;175794;663895
C,"viewpoint selection, viewpoint entropy, direct volume rendering, interval volumes, level-set graphs",1532834,480789;1372235;1183774;1532833;663875;1183785
C,"visualization, virtual reality, user interfaces, projectors, volume rendering, curved sections",1532846,964508;1250351
C," Distributed Rendering, Shaders, Volume Rendering",1532787,480821;1183812
C,,1532797,663860;1183783;745282;567600;1183796;1372189
C,,1532789,
C,"cluster-based visualization, sort-last rendering, parallel image compositing",1532785,
C,"skeleton, curve-skeleton",1532783,1372184;1372221;1183754;346327;809912;1250353;964517
C,"Dataset traversal, illustrative visualization, volume manipulation, animation, transfer functions",1532817,1250388;1183820;1183777;1250386;1372190;964517
C,"interactive visual exploration, hierarchical data representation, visualization in bioinformatics, proteomics",1532828,663907
C,"large data visualization, distributed storage, logistical networking, visibility culling, volume rendering, multiresolution rendering",1532794,1183758;1183757;809910;745300;1372191;1372192;809879
C,"visualizing the Web, large network visualization, network sampling",1532819,963282;1382906;1173148;1249011
C,"Diffusion Tensor Imaging, Fiber tracking, Clustering,Clustering Validation, External Indices",1532779,964549
C,"morphometrics, morphing, surface blending, merging, warping, distance fields, extremal surface",1532826,
C,"Volume Illustration, Example-based Rendering, Wang Cubes, Texture Synthesis, Color Transfer",1532854,1372182;885694;1250386;809905
C,"Volume Raycasting, Programmable Graphics Hardware, Frame-to-Frame Coherence, Space Leaping",1532799,1183764;398852;964521;1250388;1183775;1250390;1183776;1250384;1372175
C,"tensor field, stress tensor, streamlines,controlled density streamlines, crack propagation",1532771,745316;235193;1183799;346326;809894;885690;398849
C,,1532842,809907;1183786;885714;175773;885716;964507;1250376
C,"flow visualization, vortex core lines, bifurcations",1532851,1372213;346327;809896;235211;398875;964506;745290;745296
C,"visualization, 2D/3D combination display, user study, experiment, eyegaze analysis",1532837,1250396;663914
C,"3D Vector Field Visualization, Time-Varying Data Visualization, Flow Visualization, Vector/Tensor Visualization",1532848,964541_04;485146;1372214;235211;398848;1372196;398850;1250372;568121;1372213
C,"Streamline placement, farthest point seeding, Delaunay triangulation, variable density, multiresolution",1532832,885690
C," diffusion tensor imaging, tractography, white matter",1532778,809894;1372220
C,"Volume Rendering, Quadratic Super-Splines, Shear-Warp Algorithm, Hierarchical Data Encoding",1532816,745713;964513;346331;146391
C," finite element, basis function, tessellation, framework",1532776,663886;1372199;175818;480821
C,"Mass Spectrometry, Terrain Rendering, GPU Rendering",1532827,567600;745282;663860
C," volume rendering, hardware acceleration",1532815,885683;1372176;1250390
