"Paper type: C=conference paper, J = journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Keywords,IEEE XPLORE Article Number (deprecated),References (deprecated)
J,"Time-varying data visualization, graph simplification, community detection, visual recommendation",7194853,5290706;6634098;6064965;4658163;809871;4015447;5290726;4015461
J,"Pattern matching, multi-field visualization",7192721,1250372;5290760;4015447;4376210;6875976;6064967
M,,7429508,
J,"Neuroscience, Segmentation, Proofreading, Data and Provenance Tracking",7192653,6875935;1532788;6634132;5290766;6327233;6875931;6634144;6876026;4376187
J,"Medical visualization, aneurysms, blood flow, wall thickness, illustrative visualization",7194839,5290742;6064983;6877722;5613474;6064980;1372190
M,,7429503,
M,,7429512,
J,"Transfer function, scalar fields, volume rendering, touch interaction, visualization, user interfaces",7192698,6064970;964540;6065015;6877722;964538;1372206;1183754;1250353;6064963;4015442
M,,7429505,
J,"Molecular visualization, diffuse interreflections, ambient occlusion",7192702,4376193;5290730;4376194;6327210;5290753;6876051;4015487
C,"Ultrasound, Uncertainty Visualization, Confidence Maps, Real-time",7429489,964550;4015499;4376198;6327255;5290731
J,"Cell migration, vector field, 3D, timedependent,LIC, tracking, validation",7210213,5613499;567784;5290738;1250364;663898;1250363
J,"Vortex cores, rotation invariance, Galilean invariance, scientific visualization, flow visualization, line fields",7192689,6875993;1183789;6875965;6064972;6634153;809917;809896;745296;1532851;4376212;5613462
J,"Ensemble visualization, uncertainty visualization, flow visualization, streamlines, statistical modeling",7192675,4376173;885715;809863;6634122;4376198;6875964;1532779;5613483;809865;6634129
J,"Co-occurrence, human mobility, telco data, bicluster, visual analytics",7192730,5652478;6634194;6876012;6634127;6065025;6634146;6875983;6102455;885091;6875974;6327262;6634174;7042490;6876013
C,"Function similarity, computational topology, species distribution models, persistence, high dimensional visualization",7429486,6064947;5613467;4658193;5290748;6634169;4658165;6064967;6634095;6875976;6064952;4376169
C,"Visual Verification, Space Weather, Coronal Mass Ejections, Ensemble",7429487,5613488;5613483;6634129
J,"Turbine flow visualization, vortex extraction, anomaly detection, juxtaposition, brushing and linking, time series",7192672,175794;4376176;885739;6634111;6634153;1372195;1532830;6875987
J,"Visualization design, multivariate, art, sketch, color map, glyph",7185456,4677356;5290701;6634168;6065021;4658123;6634127;6875983;1173157;5290707;5613429;963286;6065019;6327262;6875972
M,,7429513,
M,,7429506,
J,"Uncertainty visualization, tensor visualization, direct volume rendering, interaction, glyph based visualization",7192624,5290759;5290754;1532773;4015482;4015499;5613502;4658185;4376179;7192722
J,"Interactive Visual Analysis, Regression Analysis, Heat Map, Epidemiology, Breast Cancer, Hepatic Steatosis",7194847,6064985;6064996;5333431;6634192;6876009;6634119;6634169;6876043
J,"Evaluation, visual analytics, interaction, intelligence analysis, insight-based evaluation",7192662,1532136;6875913;7042482;4677365;4658129;5333878;6876022;6327280;4376144
M,,7347674,
M,,7347677,
J,"microblog data, mutual reinforcement model, uncertainty modeling, uncertainty visualization, uncertainty propagation",7192694,6634195;6327271;5332611;6634091;6065003;7042494;568116;1532150;5652931;6065022;6875992;6634179;6065021;6876032;5613449;6327258;6634134;6876013
J,"Bicluster, coordinated relationship, semantic edge bundling",7192715,4376140;5290706;4658140;6327277;6327294;1382886;6875920;4376154;4015425;6065003;5333878;6064995;5613440;6875994;5613447;6064990;6875974
J,"Provenance, Analytic provenance, Visual analytics, Framework, Visualization, Conceptual model",7192714,1532136;1532788;6634189;398857;6400486;6875913;5652932;4677365;4658129;6634108;5333020;5653598;6327266;6875986;4677366;6634181;5613483;5613452;146375
